date,well,online,thp,esp_freq,gross,wc,net,gas,water,gor,ampere,fl_dyn,pump_int,pbhp,is_shutdown
2022-05-15,KSL-1,24.0,10.0,25.5,310.07,0.59,308.240587,0.851,1.84,0.0,25.2,511.75,1994.0,682.5,0
2022-05-16,KSL-1,24.0,10.0,25.5,309.74,0.63,307.788638,0.851,1.95,0.0,25.2,512.33,1994.0,686.2,0
2022-05-17,KSL-1,24.0,10.0,25.5,309.84,0.6,307.98096,0.851,1.84,0.0,25.2,512.33,1994.0,686.2,0
2022-05-18,KSL-1,24.0,10.0,25.5,314.59,0.6,312.70246,0.851,1.89,0.0,25.2,512.33,1994.0,686.2,0
2022-05-19,KSL-1,24.0,10.0,25.5,309.43,0.63,307.480591,0.851,1.96,0.0,25.2,512.33,1994.0,686.2,0
2022-05-20,KSL-1,24.0,10.0,25.5,311.74,0.6,309.86956,0.851,1.87,0.0,25.2,512.33,1994.0,686.2,0
2022-05-21,KSL-1,24.0,10.0,25.5,312.45,0.65,310.419075,0.851,2.02,0.0,25.2,512.33,1994.0,686.2,0
2022-05-22,KSL-1,24.0,10.0,25.5,313.42,0.62,311.476796,0.851,1.94,0.0,25.2,512.33,1994.0,686.2,0
2022-05-23,KSL-1,24.0,10.0,25.5,312.53,0.65,310.498555,0.851,2.03,0.0,25.2,512.33,1994.0,686.2,0
2022-05-24,KSL-1,24.0,10.0,25.5,317.88,0.63,315.877356,0.851,1.99,0.0,25.2,512.33,1994.0,686.2,0
2022-05-25,KSL-1,24.0,10.0,25.5,312.53,0.63,310.561061,0.851,2.0,0.0,25.2,512.33,1994.0,686.2,0
2022-05-26,KSL-1,24.0,10.0,25.5,314.36,0.68,312.222352,0.851,2.12,0.0,25.2,512.33,1994.0,686.2,0
2022-05-27,KSL-1,24.0,10.0,25.5,317.8,0.68,315.63896,0.851,2.17,0.0,25.2,512.33,1994.0,686.2,0
2022-05-28,KSL-1,24.0,10.0,25.5,310.55,0.62,308.62459,0.851,1.94,0.0,25.2,512.33,1994.0,686.2,0
2022-05-29,KSL-1,24.0,10.0,25.5,312.47,0.62,310.532686,0.851,1.95,0.0,25.2,512.33,1994.0,686.2,0
2022-05-30,KSL-1,24.0,10.0,25.5,312.79,0.6,310.91326,0.851,1.88,0.0,25.2,512.33,1994.0,686.2,0
2022-05-31,KSL-1,24.0,10.0,25.5,309.75,0.63,307.798575,0.851,1.96,0.0,25.2,512.33,1994.0,686.2,0
2022-06-01,KSL-1,24.0,10.0,25.5,310.46,0.64,308.473056,0.851,1.98,0.0,25.2,512.33,1994.0,686.2,0
2022-06-02,KSL-1,24.0,10.0,25.5,307.85,0.67,305.787405,0.851,2.05,0.0,25.2,512.33,1994.0,686.2,0
2022-06-03,KSL-1,24.0,10.0,25.5,309.87,0.63,307.917819,0.851,1.95,0.0,25.2,512.33,1994.0,686.2,0
2022-06-04,KSL-1,24.0,10.0,25.5,313.26,0.7,311.06718,0.851,2.19,0.0,25.2,512.33,1994.0,686.2,0
2022-06-05,KSL-1,24.0,10.0,25.5,312.03,0.67,309.939399,0.851,2.08,0.0,25.2,512.33,1994.0,686.2,0
2022-06-06,KSL-1,24.0,10.0,25.5,312.4,0.67,310.30692,0.851,2.19,0.0,25.2,512.33,1994.0,686.2,0
2022-06-07,KSL-1,24.0,10.0,25.5,309.59,0.7,307.42287,0.851,2.17,0.0,25.2,512.33,1994.0,686.2,0
2022-06-08,KSL-1,24.0,10.0,25.5,313.15,0.7,310.95795,0.851,2.19,0.0,25.2,512.33,1994.0,686.2,0
2022-06-09,KSL-1,24.0,10.0,25.5,310.48,0.7,308.30664,0.851,2.17,0.0,25.2,512.33,1994.0,686.2,0
2022-06-10,KSL-1,24.0,10.0,25.5,313.4,0.7,311.2062,0.851,2.18,0.0,25.2,512.33,1994.0,686.2,0
2022-06-11,KSL-1,24.0,10.0,25.5,314.36,0.7,312.15948,0.851,2.2,0.0,25.2,512.33,1994.0,686.2,0
2022-06-12,KSL-1,24.0,10.0,25.5,307.72,0.7,305.56596,0.851,2.14,0.0,25.2,512.33,1994.0,686.2,0
2022-06-13,KSL-1,24.0,10.0,25.5,313.9,0.7,311.7027,0.851,2.2,0.0,25.2,512.33,1994.0,686.2,0
2022-06-14,KSL-1,24.0,10.0,25.5,309.81,0.68,307.703292,0.851,2.1,0.0,25.2,512.33,1994.0,686.2,0
2022-06-15,KSL-1,24.0,10.0,25.5,317.81,0.67,315.680673,0.851,2.14,0.0,25.2,512.33,1994.0,686.2,0
2022-06-16,KSL-1,24.0,10.0,25.5,310.79,0.65,308.769865,0.851,2.02,0.0,25.2,512.33,1994.0,686.2,0
2022-06-17,KSL-1,24.0,10.0,25.5,312.72,0.73,310.437144,0.851,2.27,0.0,25.2,512.33,1994.0,686.2,0
2022-06-18,KSL-1,24.0,10.0,25.5,310.72,0.7,308.54496,0.851,2.18,0.0,25.2,512.33,1994.0,686.2,0
2022-06-19,KSL-1,24.0,10.0,25.5,310.7,0.68,308.58724,0.851,2.12,0.0,25.2,512.33,1994.0,686.2,0
2022-06-20,KSL-1,24.0,10.0,25.5,309.43,0.64,307.449648,0.851,1.99,0.0,25.2,512.33,1994.0,686.2,0
2022-06-21,KSL-1,24.0,10.0,25.5,310.22,0.63,308.265614,0.851,1.94,0.0,25.2,512.33,1994.0,686.2,0
2022-06-22,KSL-1,24.0,10.0,25.5,312.41,0.7,310.22313,0.851,2.19,0.0,25.2,512.33,1994.0,686.2,0
2022-06-23,KSL-1,24.0,10.0,25.5,317.87,0.69,315.676697,0.851,2.2,0.0,25.2,512.33,1994.0,686.2,0
2022-06-24,KSL-1,24.0,10.0,25.5,312.56,0.7,310.37208,0.851,2.19,0.0,25.2,512.33,1994.0,686.2,0
